,University,LG_State,City,Benefit_Share,Endow_Shared_With,Num_Unis,Current_Uni_Ben_Yr,Prior_Uni_Ben_Yr,Uni_Ben_History,Uni_Type,Grant_Type,Yr_Uni_Founded,Yr_ST_Accept,Yr_Uni_Assign,Year_Uni_Open,Uni_Site_Purchase,Uni_Created,Bulk_Disposal,Disposal_Complete,Total_Acres_Exp,Total_Acres_Found,Sold_Acres_1914,Unsold_Acres_1914,Endow_Raised_1914,Value_Per_Acre_Unsold_1914,Value_Unsold_Acres_1914,Total_Value_1914,Per_Acre_Total_Value_1914,Inf_Value_1914_2020,Inf_Factor_Adjust_2020,Unsold_Acres_Value_1918,Unsold_Acres_1918,Per_Acre_Value_Unsold_1918,US_Paid,No_Indig_Cessions,No_Loc_States,Adjusted_Acreage,Adjusted_US_Paid,Adjusted_Endow_Raised_1914,Adjusted_Value_Unsold_Acres_1914,Adjusted_Total_Value_1914,Pay_Raise_Multiple,Adjusted_Inf_Value_Assign_Yr_2020,Adjusted_Inf_Value_1914_2020,Disposal_Notes
16,Louisiana State University,LA,Baton Rouge,1.0,,1.0,Louisiana State University (1874 - Present),,Louisiana State University (1874 - Present),Public,Scrip,1860,1869,1874,1874,True,False,True,1871,"209,920","209,552",209920.0,0.0,182630.4,0.0,0.0,182630.4,0.87,4771219.2,0.044019139,0.0,0.0,,5328.94,70.0,15.0,"209,551.85",5328.94,182630.4,0.0,182630.4,34.27,4148886.0,4771219.0,"The scrip was given over to a State board of commissioners, who sold it in bulk in 1871 for $182,630.40 and invested the proceeds in Louisiana state bonds for the benefit of the Louisiana State Agricultural and Mechanical College (now Louisiana State University). Compounded by interest, the principal was used to fix a capital fund of $327,000 in state bonds at 6% interest. A state constitutional amendment in 1874 provided for refunding the state debt, and in 1875, the trustees exchanged the bonds for $196,200 worth of new bonds at 7% interest. In 1879, the bonds were canceled and a credit of capital debt of $182,313.03, paying 5%, was made part of the irreducible state debt, earning $9,115.69 per year."
17,University of Massachusetts,MA,Amherst,0.67,Massachusetts Institute of Technology,2.0,University of Massachusetts [67%]/MIT [33%] (1863 - Present),,University of Massachusetts [67%]/MIT [33%] (1863 - Present),Public,Scrip,1863,1863,1863,1867,True,True,False,1867,"360,000","366,711",360000.0,0.0,236287.4,0.0,0.0,236287.4,0.66,6173008.33,0.04784689,0.0,0.0,,13697.46,38.0,15.0,"245,696.23",9177.3,158312.56,0.0,158312.56,17.25,3308732.0,4135916.0,"The state split the interest, allocating one-third to MIT and two-thirds to the Massachusetts Agricultural College (now the University of Massachusetts). Both universities predated the Morrill Act, but ""the land-grant endowment put new life into both."" The land was sold between 1864 and 1867. UMass sold a block of 36,000 acres for $29,778.4 in 1864 to purchase a school site. About 140,000 acres were sold between 1864 and 1866 for an average price of 81 cents an acre. Another 220,000 acres were sold in 1867, some at 54 cents per acre, some at 58 cents per acre. All the land was sold by 1868, and the total realized was $236,287.40. The proceeds were placed on permanent deposit in the state Treasury and initially ""invested in railroad, State, county, and city bonds and notes."" By 1914, the endowment was reportedly invested in ""Massachusetts prison and hospital loan bonds at 5 per cent."""
18,Massachusetts Institute of Technology,MA,Cambridge,0.33,University of Massachusetts,2.0,University of Massachusetts [67%]/MIT [33%] (1863 - Present),,University of Massachusetts [67%]/MIT [33%] (1863 - Present),Private,Scrip,1861,1863,1863,1865,True,False,False,1867,"360,000","366,711",360000.0,0.0,236287.4,0.0,0.0,236287.4,0.66,6173008.33,0.04784689,0.0,0.0,,13697.46,38.0,15.0,"121,014.56",4520.16,77974.84,0.0,77974.84,17.25,1629674.0,2037093.0,"The state split the interest, allocating one-third to MIT and two-thirds to the Massachusetts Agricultural College (now the University of Massachusetts). Both universities predated the Morrill Act, but ""the land-grant endowment put new life into both."" The land was sold between 1864 and 1867. UMass sold a block of 36,000 acres for $29,778.4 in 1864 to purchase a school site. About 140,000 acres were sold between 1864 and 1866 for an average price of 81 cents an acre. Another 220,000 acres were sold in 1867, some at 54 cents per acre, some at 58 cents per acre. All the land was sold by 1868, and the total realized was $236,287.40. The proceeds were placed on permanent deposit in the state Treasury and initially ""invested in railroad, State, county, and city bonds and notes."" By 1914, the endowment was reportedly invested in ""Massachusetts prison and hospital loan bonds at 5 per cent."""
19,University of Maryland,MD,College Park,1.0,,1.0,University of Maryland (1864 - Present),,University of Maryland (1864 - Present),Public,Scrip,1856,1864,1864,1859,True,False,True,1867,"209,920","202,971",209920.0,0.0,112504.0,0.0,0.0,112504.0,0.54,2939167.0,0.060287081,0.0,0.0,,12554.35,29.0,9.0,"202,971.24",12554.35,112504.0,0.0,112504.0,8.96,1866138.0,2939167.0,"Maryland sold the land in blocks in 1867 for $112,504 and held it in trust for the benefit of Maryland Agricultural College (now the University of Maryland). The state illegally used 10% of the capital generated by the land grant to reimburse itself for covering university debts, but the capital was restored by the Legislature in 1872."
20,University of Maine,ME,Orono,1.0,,1.0,University of Maine (1865 - Present),,University of Maine (1865 - Present),Public,Scrip,1865,1863,1865,1868,True,True,False,1870,"209,920","207,284",209920.0,0.0,116359.2,0.0,0.0,116359.2,0.55,3039884.1,0.062200957,0.0,0.0,,12554.61,38.0,15.0,"207,284.45",12554.61,116359.2,0.0,116359.2,9.27,1870698.0,3039884.0,"The scrip was sold in bulk between 1865 and 1870 (193,680 acres for $102,816 in 1866 and 16,320 acres for $13,708 in 1870). The proceeds were invested in Maine state bonds bearing 6% interest and held by the state treasurer for the benefit of the Maine State College of Agricultural and the Mechanic Arts (now the University of Maine). Accumulated interest not used for instruction through 1874 was invested in City of Bangor and Minnesota Railroad bonds, with the proceeds increasing the capital to $134,300. In 1889, the state authorized the issue of a 30-year state bond for $118,300 at 5%, producing an annual income of $5,915."
21,Michigan State University,MI,East Lansing,1.0,,1.0,Michigan State University (1863 - Present),,Michigan State University (1863 - Present),Public,Land,1855,1863,1863,1857,True,False,False,1928,"235,663","235,193",185183.0,50480.0,991673.86,3.77,190477.87,1182151.73,5.01,30883713.86,0.04784689,285000.0,50359.0,5.66,21266.02,2.0,1.0,"235,193.37",21266.02,991673.86,190477.87,1182151.73,55.59,24706971.0,30883714.0,"The grant was placed under the control of the Michigan State Board of Education for the benefit of the agricultural college. The receipts were loaned to the state at 7% interest, with the income withdrawn quarterly for the Michigan State Agricultural College (now Michigan State University). The land was sold or leased over many years. By 1914, when 50,480 acres remained unsold, it had raised $991,673.86 in principal. According to federal statistics, all the land was sold by 1928."
22,University of Minnesota,MN,Minneapolis,1.0,,1.0,University of Minnesota (1868 - Present),,University of Minnesota (1868 - Present),Public,Land,1851,1863,1868,1851,True,False,False,1904,"94,439","94,631",94439.0,0.0,579430.26,0.0,0.0,579430.26,6.14,15137615.54,0.054545455,0.0,0.0,,2308.96,2.0,1.0,"94,630.96",2308.96,579430.26,0.0,579430.26,250.95,10622888.0,15137616.0,"In 1863, Minnesota's General Land Office commissioner was empowered to select lands, but those lands could not be legally sold until 1868. Although the school was originally founded in 1851, the assignment of the land-grant fund ""may therefore well be considered as the determining cause for the permanent establishment of the State university,"" as it was used to reopen it in 1867. Sales were made on long-term contracts, and leases were made over many years. The state held the proceeds in trust, initially in the forms of bonds, cash and outstanding land contracts, for the benefit of the University of Minnesota. According to the state auditor, the last remaining acres were sold in 1904. The principal became part of the Permanent University Fund (PUF), which was stocked with land/proceeds from other federal land grants used for the university. In 2016, the market value of the PUF was $543 million."
23,University of Missouri,MO,Columbia,1.0,,1.0,University of Missouri (1870 - Present),,University of Missouri (1870 - Present),Public,Land,1839,1863,1870,1841,True,False,False,Not all sold yet,"277,067","270,613",232779.76,44287.0,363441.19,2.67,118098.67,481539.86,1.73,12580228.76,0.049760766,189148.0,47287.0,4.0,665.32,2.0,1.0,"270,613.28",665.32,363441.19,118098.67,481539.86,723.77,9677099.0,12580229.0,"Part of the land was leased, with the title remaining with the University of Missouri. Proceeds of sales went into Missouriís Treasury, became part of the irreducible state debt, and earned 5% interest. After 1902, subsequent sales had to be invested in municipal, county, school district or drainage bonds. The land was sold or leased over many years. As of 2019, not all acres have been sold."
24,Alcorn State University,MS,Lorman,0.5,Mississippi State University,2.0,Alcorn State University [50%]/Mississippi State University [50%] (1878 - Present),University of Mississippi (1871-1878),Alcorn State University [50%]/Mississippi State University [50%] (1878 - Present); Alcorn State University [60%]/University of Mississippi [40%] (1871 - 1878),Public HBC,Scrip,1871,1871,1871,1871,True,True,True,1874,"209,920","209,652",209920.0,0.0,188028.0,0.0,0.0,188028.0,0.9,4912231.5,0.046889952,0.0,0.0,,5882.78,69.0,17.0,"104,826.01",2941.39,94014.0,0.0,94014.0,31.96,2004992.0,2456116.0,"Gov. James Alcorn divided the proceeds of Mississippiís scrip between Alcorn State University (three-fifths) and the University of Mississippi (two-fifths) in 1871, when the state was allowed to accept the grant. The scrip was all sold in 1874, for 90 cents per acre, to G.F. Lewis. The sale raised $188,928: Alcorn University used $10,500 of its share to buy a site for the university, and the rest was invested by the state in a permanent state bond fund at 8% interest. Only 5% was given to the colleges, while the remaining 3% was added to the capital.  In 1876, $227,150 was reinvested in 5% state bonds. In 1878, the University of Mississippi's share was shifted to Mississippi State University and increased to 50%. (Alcorn University's share was reduced to 50%.) Mississippi State used $15,000 to purchase a site for the university. In 1914, the fund was held by the state Treasury and invested in 6% bonds due in 1928."
25,Mississippi State University,MS,Starkville,0.5,Alcorn State University,2.0,Alcorn State University [50%]/Mississippi State University [50%] (1878 - Present),University of Mississippi (1871-1878),Alcorn State University [50%]/Mississippi State University [50%] (1878 - Present); Alcorn State University [60%]/University of Mississippi [40%] (1871 - 1878),Public,Scrip,1878,1871,1878,1880,True,True,True,1873,"209,920","209,652",209920.0,0.0,188028.0,0.0,0.0,188028.0,0.9,4912231.5,0.038277512,0.0,0.0,,5882.78,69.0,17.0,"104,826.01",2941.39,94014.0,0.0,94014.0,31.96,2456116.0,2456116.0,"Gov. James Alcorn divided the proceeds of Mississippiís scrip between Alcorn State University (three-fifths) and the University of Mississippi (two-fifths) in 1871, when the state was allowed to accept the grant. The scrip was all sold in 1874, for 90 cents per acre, to G.F. Lewis. The sale raised $188,928: Alcorn University used $10,500 of its share to buy a site for the university, and the rest was invested by the state in a permanent state bond fund at 8% interest. Only 5% was given to the colleges, while the remaining 3% was added to the capital.  In 1876, $227,150 was reinvested in 5% state bonds. In 1878, the University of Mississippi's share was shifted to Mississippi State University and increased to 50%. (Alcorn University's share was reduced to 50%.) Mississippi State used $15,000 to purchase a site for the university. In 1914, the fund was held by the state Treasury and invested in 6% bonds due in 1928."
26,Montana State University,MT,Bozeman,1.0,,1.0,Montana State University (1893 - Present),,Montana State University (1893 - Present),Public,Land,1893,1889,1893,1893,True,True,False,Not all sold yet,"140,000","140,385",32064.0,107936.0,533148.92,6.67,719573.33,1252722.25,8.91,32727368.87,0.034449761,630850.0,63085.0,10.0,8885.09,7.0,1.0,"140,384.80",8885.09,533148.92,719573.33,1252722.25,140.99,36363743.0,32727369.0,"The Montana State Board of Land Commissioners, which was given control of the lands, originally set the minimum sale price at $10 per acre. Montana had a grant of 90,000 acres made in lieu of the 1862 act (and an additional 50,000 acres of unrestricted land for an agricultural college, which it used to fund construction and equipment costs). It was subsequently decided that all of the acres would be considered as subject to Morrill Act restrictions. The land was sold or rented over many years. By 1914, Montana had raised $533,148.92, but still had 107,936 acres left, and of 2019, not all of them had been sold."
27,North Carolina State University,NC,Raleigh,1.0,,1.0,North Carolina State University (1889 - Present),"University of North Carolina, Chapel Hill (1867-1889)",North Carolina State University (1889 - Present); UNC-Chapel Hill (1867-1889),Public,Scrip,1887,1866,1889,1889,True,True,True,1867,"269,920","269,977",269920.0,0.0,135000.0,0.0,0.0,135000.0,0.5,3526875.0,0.035406699,0.0,0.0,,1752.74,30.0,10.0,"269,977.43",1752.74,135000.0,0.0,135000.0,77.02,3812838.0,3526875.0,"The scrip was transferred to the University of North Carolina trustees in 1867, who sold it to G.F. Lewis, associated with Fisher, Boothe & Co., in bulk for $135,000. The university's endowment had been ""swept away because of the war."" The university illegally spent $10,000 of the principal for operations, ""on condition that the university would furnish buildings and 800 acres of land""; the rest was invested in North Carolina state bonds, whose interest defaulted. The university closed in 1870 and reopened in 1875, with a certificate of indebtedness for $125,000 at 6% interest. In 1889, the $125,000 fund was re-assigned from the University of North Carolina to North Carolina State University."
28,North Dakota State University,ND,Fargo,1.0,,1.0,North Dakota State University (1890 - Present),,North Dakota State University (1890 - Present),Public,Land,1890,1889,1890,1891,True,True,False,Not all sold yet,"130,000","130,471",93980.0,36020.0,455924.54,13.33,480266.67,936191.21,7.17,24457995.27,0.034449761,608120.0,30406.0,20.0,1195.66,9.0,1.0,"130,470.99",1195.66,455924.54,480266.67,936191.21,782.99,27175550.0,24457995.0,"Originally, none of the land North Dakota received could be sold for less than $10 per acre. A state board of university and school lands handled leases and sales, which proceeded over many years. As of 2019, not all acres have been sold."
29,University of Nebraska,NE,Lincoln,1.0,,1.0,University of Nebraska (1873 - Present),,University of Nebraska (1873 - Present),Public,Land,1869,1867,1873,1871,True,True,False,Not all sold yet,"90,800","89,920",88913.0,1887.0,560072.86,4.67,8806.0,568878.86,6.26,14861960.22,0.045933014,58776.0,8396.0,7.0,11193.92,3.0,1.0,"89,920.44",11193.92,560072.86,8806.0,568878.86,50.82,12384967.0,14861960.0,"In 1867, a commission was appointed to select the lands in 1867, which were initially held ""for the rise in price, which is inevitable in this State."" They were to be leased at 6% of appraised value or sold at auction for a minimum of $5 per acre, later raised to $7. Control of the lands was given to the Nebraska Board of Educational Lands and Funds. The land was sold or leased over many years. As of 2019, not all acres have been sold."
